City,City,Shootings,Lat,Lng
"Palo Alto, CA","Palo Alto, CA",5.0,37.4418834,-122.1430195
"Chester, PA","Chester, PA",8.0,39.849557,-75.3557457
"Richmond, IN","Richmond, IN",4.0,39.8289369,-84.8902382
"Flint, MI","Flint, MI",16.0,43.0125274,-83.6874562
"West Broward, FL","West Broward, FL",4.0,26.190096,-80.365865
"Fruitland Township, MI","Fruitland Township, MI",4.0,43.3295527,-86.357952
"Lake Butler, FL","Lake Butler, FL",5.0,30.0227391,-82.3395574
"Defiance, OH","Defiance, OH",4.0,41.2844933,-84.3557802
"Washington, D.C.","Washington, D.C.",4.0,38.9071923,-77.0368707
"Lancaster, CA","Lancaster, CA",4.0,34.6867846,-118.1541632
"Tangelo Park, FL","Tangelo Park, FL",4.0,28.4558386,-81.4459047
"Omaha, NE","Omaha, NE",20.0,41.2523634,-95.9979883
"Savannah, GA","Savannah, GA",10.0,32.0835407,-81.0998342
"San Juan, PR","San Juan, PR",5.0,18.4663338,-66.1057217
"Fontana, CA","Fontana, CA",4.0,34.0922335,-117.435048
"Knoxville, TN","Knoxville, TN",8.0,35.9606384,-83.9207392
"Orangeburg, SC","Orangeburg, SC",4.0,33.4918203,-80.8556476
"Cartersville, GA","Cartersville, GA",7.0,34.1650972,-84.7999382
"Livermore, CA","Livermore, CA",5.0,37.6818745,-121.7680088
"Cabarrus County, NC","Cabarrus County, NC",4.0,35.4168123,-80.5882803
"Waynesville, IN","Waynesville, IN",4.0,39.114391,-85.893517
"New Haven, CT","New Haven, CT",11.0,41.308274,-72.9278835
"Trenton, NJ","Trenton, NJ",9.0,40.2170534,-74.7429384
"Marion, NC","Marion, NC",4.0,35.6840131,-82.0092745
"Lorain, OH","Lorain, OH",5.0,41.452819,-82.1823746
"Douglasville, GA","Douglasville, GA",7.0,33.7514966,-84.7477136
"Camden, NJ","Camden, NJ",4.0,39.9259463,-75.1196199
"Antioch, CA","Antioch, CA",7.0,38.0049214,-121.805789
"Erie, PA","Erie, PA",6.0,42.1292241,-80.085059
"Hopewell, VA","Hopewell, VA",4.0,37.3043154,-77.2872001
"Killeen, TX","Killeen, TX",10.0,31.1171194,-97.7277959
"Gastonia, NC","Gastonia, NC",5.0,35.262082,-81.1873005
"KS City, MO","KS City, MO",31.0,39.0997265,-94.5785667
"Miami-Dade, FL","Miami-Dade, FL",17.0,25.5516034,-80.6326916
"Fuquay-Varina, NC","Fuquay-Varina, NC",4.0,35.5843235,-78.8000128
"Aurora, IL","Aurora, IL",4.0,41.7605849,-88.3200715
" Sikeston, MO"," Sikeston, MO",4.0,36.876719,-89.5878579
"Bogalusia, LA","Bogalusia, LA",4.0,30.7910204,-89.8486858
"Port Orange, FL","Port Orange, FL",4.0,29.1383165,-80.9956105
"Wheat Ridge, CO","Wheat Ridge, CO",4.0,39.766098,-105.0772063
"MOneta, VA","MOneta, VA",4.0,37.1812536,-79.6172536
"Beaumont, TX","Beaumont, TX",8.0,30.080174,-94.1265562
"Auburn, WA","Auburn, WA",4.0,47.3073228,-122.2284532
"Saginaw, Mi","Saginaw, Mi",4.0,43.4194699,-83.9508068
"Kokomo, IN","Kokomo, IN",4.0,40.486427,-86.1336033
"Manchester, CT","Manchester, CT",4.0,41.7759301,-72.5215009
"Cypress, TX","Cypress, TX",4.0,29.9716905,-95.6937856
"Dayton, OH","Dayton, OH",11.0,39.7589478,-84.1916069
"Wilmington, DE","Wilmington, DE",17.0,39.7390721,-75.5397878
"Charlotte, NC","Charlotte, NC",31.0,35.2270869,-80.8431267
"Snellville, GA","Snellville, GA",4.0,33.857328,-84.0199108
"Webster, NY","Webster, NY",5.0,43.2122851,-77.4299939
"Starkville, MS","Starkville, MS",5.0,33.4503998,-88.8183872
"Santa MOnica, CA","Santa MOnica, CA",10.0,34.0194543,-118.4911912
"St Louis, MO","St Louis, MO",4.0,38.6270025,-90.1994042
"Shelby, NC","Shelby, NC",4.0,35.2923513,-81.5356463
"Beloit, WI","Beloit, WI",4.0,42.5083482,-89.0317765
"Baltimore, MD","Baltimore, MD",66.0,39.2903848,-76.6121893
"Winston-Salem, NC","Winston-Salem, NC",4.0,36.0998596,-80.244216
"Fresno, CA","Fresno, CA",45.0,36.7468422,-119.7725868
"Opa-locka, FL","Opa-locka, FL",4.0,25.9023168,-80.2503271
"Tampa, FL","Tampa, FL",9.0,27.950575,-82.4571776
"Sylvester, GA","Sylvester, GA",7.0,31.5307349,-83.8354542
"Perris, CA","Perris, CA",5.0,33.7825194,-117.2286478
"Norfolk, VA","Norfolk, VA",26.0,36.8507689,-76.2858726
"Pomona, CA","Pomona, CA",13.0,34.055103,-117.7499909
"E. Palo Alto, CA","E. Palo Alto, CA",6.0,37.4688273,-122.1410751
"Forsyth County, GA","Forsyth County, GA",5.0,34.2358502,-84.1435136
"Havey, LA","Havey, LA",5.0,29.9035387,-90.0772944
"Miami, FL","Miami, FL",66.0,25.7616798,-80.1917902
"West Little River, FL","West Little River, FL",9.0,25.8570407,-80.2369934
"Oklahoma, OK","Oklahoma, OK",4.0,35.4675602,-97.5164276
"Elmhurst, IL","Elmhurst, IL",4.0,41.8994744,-87.9403418
