,City,Shootings,Lat,Lng
376,"Baltimore, MD",66.0,39.2903848,-76.6121893
377,"Winston-Salem, NC",4.0,36.0998596,-80.244216
378,"Fresno, CA",45.0,36.7468422,-119.7725868
379,"Opa-locka, FL",4.0,25.9023168,-80.2503271
380,"Tampa, FL",9.0,27.950575,-82.4571776
381,"Sylvester, GA",7.0,31.5307349,-83.8354542
382,"Perris, CA",5.0,33.7825194,-117.2286478
383,"Norfolk, VA",26.0,36.8507689,-76.2858726
384,"Pomona, CA",13.0,34.055103,-117.7499909
385,"E. Palo Alto, CA",6.0,37.4688273,-122.1410751
386,"Forsyth County, GA",5.0,34.2358502,-84.1435136
387,"Havey, LA",5.0,29.9035387,-90.0772944
388,"Miami, FL",66.0,25.7616798,-80.1917902
389,"West Little River, FL",9.0,25.8570407,-80.2369934
390,"Oklahoma, OK",4.0,35.4675602,-97.5164276
391,"Elmhurst, IL",4.0,41.8994744,-87.9403418
392,"Columbia, TN",4.0,35.6150716,-87.0352831
393,"Whitehaven, TN",5.0,35.0277933,-90.0466559
394,"Albuquerque, NM",20.0,35.0853336,-106.6055534
395,"Panola County, MS",4.0,34.4198016,-89.9253233
396,"Brentwood, CA",4.0,37.931868,-121.6957863
397,"North Las Vegas, NV",4.0,36.1988592,-115.1175013
398,"Federal Way, WA",7.0,47.3223221,-122.3126222
399,"Los Chavez, NM",4.0,34.736851,-106.7554819
400,"Greensboro, NC",13.0,36.0726354,-79.7919754
401,"Milwaukee, WI",32.0,43.0389025,-87.9064736
402,"Camp Spring, MD",4.0,38.8040027,-76.9066396
403,"Suburban Salt Lake City (Midvale), UT",4.0,40.5941149,-111.8491003
404,"Chattanooga, TN",21.0,35.0456297,-85.3096801
405,"Elizabeth, NJ",4.0,40.6639916,-74.2107006
406,"Atlanta, Ga",4.0,33.7489954,-84.3879824
407,"Rock Falls, IL",4.0,41.7797533,-89.6889967
408,"Wyandanch, NY",4.0,40.7539878,-73.360398
409,"Venice, IL",6.0,38.6722727,-90.169832
410,"Phillidelphia, PA",6.0,39.9525839,-75.1652215
411,"Capitol Heights, MD",5.0,38.8851122,-76.9158068
412,"Brooksville, FL",4.0,28.5552719,-82.3878709
413,"Farmington, NM",4.0,36.7280583,-108.2186856
414,"Tallahassee, FL",4.0,30.4382559,-84.2807329
415,"Long Branch, NJ",4.0,40.3042778,-73.9923596
416,"Atlanta, GA",42.0,33.7489954,-84.3879824
417,"Flatbush, NY",4.0,40.6409217,-73.9624327
418,"Greenville, GA",10.0,33.0287373,-84.7129848
419,"Salem City, NJ",4.0,39.5717796,-75.4671423
420,"Rockford, IL",19.0,42.2711311,-89.0939952
421,"Harrisburg, PA",8.0,40.2731911,-76.8867008
422,"Herkimer, NY",7.0,43.0256259,-74.9859889
423,"Myrtle Beach, SC",4.0,33.6890603,-78.8866943
424,"Fernley, NV",5.0,39.6079683,-119.2518349
425,"Clarksburg, WV",4.0,39.2806451,-80.3445341
426,"Clairton, PA",6.0,40.292292,-79.881715
427,"Weir, TX",5.0,30.6749425,-97.5861701
428,"Tuskegee, AL",5.0,32.430237,-85.7077266
429,"Baker, LA",4.0,30.5882429,-91.168163
430,"MOntgomery, AL",21.0,32.3668052,-86.2999689
431,"Kileen, TX",24.0,31.1171194,-97.7277959
432,"Renegade MOuntain, TN",4.0,35.8823309,-84.8522294
433,"Plainfield, NJ",4.0,40.6337136,-74.4073736
434,"North Charleston, SC",4.0,32.8546197,-79.9748103
435,"Norcross, GA",4.0,33.9412127,-84.2135309
436,"Cadiz, KY",4.0,36.8650496,-87.835295
437,"Tampa Bay, FL",4.0,27.7495159,-82.5834947
438,"Clarksville, TN",9.0,36.5297706,-87.3594528
439,"New Port Richey, FL",4.0,28.2441768,-82.7192671
440,"Banning, CA",4.0,33.9255713,-116.8764103
441,"Richmond, Ca",4.0,37.9357576,-122.3477486
442,"Stopover, KY",4.0,37.5159411,-82.09124
443,"Skyline, WA",5.0,48.483158,-122.684618
444,"Tarboro, NC",4.0,35.8968236,-77.5358049
445,"Pontiac, MI",7.0,42.6389216,-83.2910468
446,"Merced, CA",4.0,37.3021632,-120.4829677
447,"Hamilton Township, NJ",5.0,40.2115109,-74.6796651
448,"Starr County, TX",4.0,26.6215167,-98.7481167
449,"Macon, GA",27.0,32.8406946,-83.6324022
450,"Apache Junction, AZ",4.0,33.4150485,-111.5495777
451,"Gila Bend, AZ",4.0,32.9478236,-112.7168305
452,"Centreville, IL",4.0,38.5833842,-90.125109
453,"Lancaster, TX",6.0,32.5920798,-96.7561082
454,"Boston, MA",18.0,42.3600825,-71.0588801
455,"Hope Mills, NC",7.0,34.9704419,-78.9453056
456,"Fort Worth, Tx",5.0,32.7554883,-97.3307658
457,"Spanish Fork, UT",5.0,40.114955,-111.654923
458,"New York (Queens), NY",4.0,40.7282239,-73.7948516
459,"Joliet, IL",8.0,41.525031,-88.0817251
460,"Frayser, TN",5.0,35.203847,-90.0466559
461,"Sacramento, CA",35.0,38.5815719,-121.4943996
462,"Brooklyn, NY",75.0,40.6781784,-73.9441579
463,"Broad Ripple, IN",11.0,39.8686846,-86.1340693
464,"Fort Worth, TX",10.0,32.7554883,-97.3307658
465,"Shoreview, MN",4.0,45.0791325,-93.1471667
466,"Las Piedras, PR",6.0,18.2025991,-65.8441742
467,"Olivehurst, CA",4.0,39.0954484,-121.5521858
468,"Birmingham, AL",4.0,33.5206608,-86.80249
469,"MOntgomory, IL",6.0,41.730585,-88.3459048
470,"Little Rock, AR",4.0,34.7464809,-92.2895948
471,"Conyers, GA",4.0,33.6676103,-84.0176904
472,"Oklahoma City, Ok",4.0,35.4675602,-97.5164276
473,"Vallejo, CA",21.0,38.1040864,-122.2566367
474,"Colorado Springs, CO",5.0,38.8338816,-104.8213634
475,"MOultrie, GA",4.0,31.1799407,-83.7888387
476,"Red Springs, NC",4.0,34.8151633,-79.183091
477,"Springfield, OH",8.0,39.9242266,-83.8088171
478,"Santa Ana, CA",5.0,33.7455731,-117.8678338
479,"Houston County, AL",4.0,31.1318686,-85.3136218
480,"Topeka, KS",8.0,39.0558235,-95.6890185
481,"San Bernadino, CA",7.0,34.1083449,-117.2897652
482,"New Bedford, MA",7.0,41.6362152,-70.934205
483,"Durham, NC",8.0,35.9940329,-78.898619
484,"San Diego, CA",12.0,32.715738,-117.1610838
485,"Forest, MS",4.0,32.3645888,-89.4742348
